ts,temp,vwc
2023-04-04T10:00:00Z,11.25,0.08426503265339555
2023-04-04T10:15:00Z,9.375,0.08219252207360761
2023-04-04T10:30:00Z,12,0.0817404671446906
2023-04-04T10:45:00Z,19.625,0.08508864982683959
2023-04-04T11:00:00Z,24.875,0.08977710250025953
2023-04-04T11:15:00Z,26.3125,0.09265509615655113
2023-04-04T11:30:00Z,24.125,0.0943150135315158
2023-04-04T11:45:00Z,24.125,0.09381498360406262
2023-04-04T12:00:00Z,22.3125,0.09276156163477758
2023-04-04T12:15:00Z,19,0.09239284878383205
2023-04-04T12:30:00Z,17.375,0.09102167523436724
2023-04-04T12:45:00Z,21.6875,0.09202409420935884
2023-04-04T13:00:00Z,27.375,0.09397350924494371
2023-04-04T13:15:00Z,30.6875,0.09626121485145386
2023-04-04T13:30:00Z,31,0.0981245635523009
2023-04-04T13:45:00Z,31.875,0.09951323582372842
2023-04-04T14:00:00Z,33.125,0.10066453997329097
2023-04-04T14:15:00Z,31.875,0.10134401814398866
2023-04-04T14:30:00Z,31.8125,0.10173570619957953
2023-04-04T14:45:00Z,30.875,0.10163092210040245
2023-04-04T15:00:00Z,31.625,0.10176131026044946
2023-04-04T15:15:00Z,29.8125,0.10136927108544322
2023-04-04T15:30:00Z,24.9375,0.09859620547828776
2023-04-04T15:45:00Z,20.5,0.09571164696370957
2023-04-04T16:00:00Z,24.75,0.09539633708297604
2023-04-04T16:15:00Z,24.6875,0.09531733495597697
2023-04-04T16:30:00Z,23.125,0.0943450176325775
2023-04-04T16:45:00Z,26.5,0.0954483991871802
2023-04-04T17:00:00Z,16.875,0.09234502492514393
2023-04-04T17:15:00Z,14.625,0.08986654096494698
2023-04-04T17:30:00Z,14.4375,0.08880981418207681
2023-04-04T17:45:00Z,12.75,0.08724939164075404
2023-04-04T18:00:00Z,13,0.08666651066435269
2023-04-04T18:15:00Z,12.125,0.08608328063787826
2023-04-04T18:30:00Z,10.5625,0.08528796227405963
2023-04-04T18:45:00Z,9.25,0.08422660982453692
2023-04-04T19:00:00Z,8.375,0.08340310088582478
2023-04-04T19:15:00Z,7.5,0.08260576242171294
2023-04-04T19:30:00Z,6.75,0.08204702135764491
2023-04-04T19:45:00Z,6.25,0.08146110106087182
2023-04-04T20:00:00Z,5.125,0.08090172424530537
2023-04-04T20:15:00Z,3.75,0.08010246962276985
2023-04-04T20:30:00Z,3.625,0.07978204810384346
2023-04-04T20:45:00Z,1.125,0.07898193410794357
2023-04-04T21:00:00Z,0.125,0.0781812216378163
2023-04-04T21:15:00Z,0.5625,0.07762006212906397
2023-04-04T21:30:00Z,3.75,0.07804622603218273
2023-04-04T21:45:00Z,3.75,0.07823227486055265
2023-04-04T22:00:00Z,3.125,0.07817828964113627
2023-04-04T22:15:00Z,2.8125,0.07788421196727913
2023-04-04T22:30:00Z,0.25,0.07734984391999467
2023-04-04T22:45:00Z,0.25,0.07681520958042914
2023-04-04T23:00:00Z,0.75,0.07676111757545556
2023-04-04T23:15:00Z,-0.6875,0.07622617552454444
2023-04-04T23:30:00Z,-1.5625,0.0756909670201138
2023-04-04T23:45:00Z,-1.125,0.07539616423139492
2023-04-05T00:00:00Z,-0.5,0.07536906504862378
2023-04-05T00:15:00Z,-0.625,0.07531486491975656
2023-04-05T00:30:00Z,-0.375,0.07528776397366044
2023-04-05T00:45:00Z,1.625,0.07547424459603
